TEAM_ID,PACKET_COUNT,UPTIME_MS,GPS_LAT,GPS_LONG,GPS_ALT_M,TEMP_C,PRESSURE_HPA,OXYGEN_PCT,HUMIDITY_PCT,ECO2_PPM,TVOC_PPB,SPEC_415,SPEC_445,SPEC_480,SPEC_515,SPEC_555,SPEC_590,SPEC_630,SPEC_680,CLEAR,NIR,DT_SCORE,NH3_ppm,CO_ppm,NO2_ppm,LUX
ORG,36,57836,53.923929,0.970272,17.8,14.03,1015.02,-1,26.12,400,0,400,552,690,847,954,1107,1463,1910,7880,7960,1,0.239,4.094,0.333,838.66
ORG,37,59619,53.923929,0.970272,17.8,13.91,1015.02,-1,26.09,400,0,415,565,705,873,971,1127,1480,1942,7882,8012,1,0.234,4.197,0.338,886.58
ORG,38,60663,53.923929,0.970272,17.8,13.86,1015.02,-1,26.12,400,0,412,564,706,873,983,1145,1492,1969,7961,7991,1,0.232,4.077,0.34,858.93
ORG,39,62445,53.923929,0.970272,17.7,13.79,1015.02,-1,26.11,400,0,410,563,710,870,990,1150,1509,1963,8012,7965,1,0.228,4.197,0.344,892.11
ORG,40,63492,53.923929,0.970273,17.7,13.78,1015.02,-1,26.12,400,0,404,559,694,854,942,1098,1445,1921,8010,8084,1,0.226,4.083,0.347,879.21
ORG,41,65274,53.923929,0.970273,17.7,13.74,1015.02,-1,26.09,400,0,358,435,491,538,502,609,685,1066,6932,8551,1,0.221,4.122,0.35,672.77
ORG,42,66319,53.923929,0.970273,17.7,13.76,1015.03,-1,26.1,400,0,333,378,452,484,512,627,705,1046,6994,8670,1,0.217,3.976,0.353,470.02
ORG,1,6513,53.923945,0.970263,12.9,14.91,1015.1,20.833401,26.22,400,0,6,6,6,18,19,11,8,9,101,170,1,2.844,2.686,0.169,1.84
ORG,2,8840,53.923938,0.97027,12.4,14.67,1015.1,20.84,25.89,400,0,6,6,7,18,19,11,8,9,104,176,1,2.016,5.066,0.176,1.84
ORG,1,6440,53.92393,0.970296,12.3,14.99,1015.09,20.8498,25.75,400,0,5,5,5,16,17,9,7,7,87,141,1,0.704,5.748,0.219,1.84
ORG,2,8758,53.923932,0.970295,12.4,14.74,1015.09,20.828699,25.46,400,0,5,5,5,16,18,9,7,8,89,144,1,0.623,4.596,0.227,1.84
